Unique_ID,AnimalName,AnimalClass,AnimalBreed,AnimalColour,AnimalGender,AnimalDesexed,locality,OBJECTID
15138,Sophie,Desexed/Microchipped,West Highland Terrier,White,F,Y,ENFIELD,14138
15139,T-Bone,Greyhound,Greyhound,Black,M,Y,ENFIELD,14139
15140,Buster Junior,Desexed,Staffordshire Bull Terrier,Brindle,M,Y,TAPEROO,14140
15141,Momo,Desexed/Microchipped,Rhodesian Ridgeback,Tan,F,Y,TAPEROO,14141
15142,Evie,Desexed/Microchipped,English Staffordshire Bull Terrier,Red,F,Y,TAPEROO,14142
15143,Buddy,Pension,Shih Tzu,Black & White,M,N,TAPEROO,14143
15144,Bella,Desexed/Pension,Beagle,Tri Colour,F,Y,TAPEROO,14144
15145,Mango,Pension,Maltese,White,F,N,TAPEROO,14145
15146,Sooty,Desexed/Pension/Microchipped,Kelpie,Black,F,Y,TAPEROO,14146
15147,Buddy,Desexed/Microchipped,Chihuahua,Brown,M,Y,TAPEROO,14147
15148,Lucky,Desexed/Microchipped,Poodle,Black,M,Y,TAPEROO,14148
15149,Arnold,Desexed/Microchipped,Beagle,Tri Colour,M,Y,SEMAPHORE,14149
15150,Scotch,Pension/Microchipped,Jack Russell Terrier,Unknown,M,N,KLEMZIG,14150
15151,Kelly,Desexed/Pension/Microchipped,Maltese Terrier,White,F,Y,OTTOWAY,14151
15152,Bonnie,Desexed,English Staffordshire Bull Terrier,White,F,Y,OTTOWAY,14152
15153,Lumpy,Desexed/Pension,Jack Russell Terrier,Black & Tan,F,Y,OTTOWAY,14153
15154,Ruby,Desexed,Maltese,Tan & White,F,Y,HAMPSTEAD GARDENS,14154
15155,Diamond,Concession,Poodle,Beige,M,N,OAKDEN,14155
15156,Zeke,Desexed/Microchipped,Tenterfield Terrier,Black & White,M,Y,OAKDEN,14156
15157,Benny,Desexed/Microchipped,Silky Terrier,Sable & White,M,Y,OAKDEN,14157
15158,Roxy,Desexed/Microchipped,Maltese Terrier,White,F,Y,OAKDEN,14158
15159,Tilly,Desexed,West Highland Terrier,Wheaton,F,Y,OAKDEN,14159
15160,Trixie,Desexed/Microchipped/Obedience,Beagle,Black & Tan,F,Y,HILLCREST,14160
15161,Dexter,Microchipped,Akita,Brown & White,M,N,NORTHGATE,14161
15162,Beazley,Desexed/Microchipped,Beagle,Black & Tan & White,M,Y,ENFIELD,14162
15163,Indiana,Desexed/Microchipped,Beagle,Tri Colour,F,Y,ENFIELD,14163
15164,Max,Desexed/Microchipped,Beagle,Tri Colour,M,Y,HAMPSTEAD GARDENS,14164
15165,Max,Desexed/Pension,Maltese,Black & White,M,Y,BIRKENHEAD,14165
15166,Boby,Standard,Bull Mastiff,Tan,M,N,BLAIR ATHOL,14166
15167,Sabi,Desexed/Microchipped,Mastiff,Fawn,F,Y,BLAIR ATHOL,14167
15168,Boof,Desexed,Tenterfield Terrier,White & Black,M,Y,CLEARVIEW,14168
15169,Missy Mischief,Desexed/Microchipped,Jack Russell Terrier,Tri Colour,F,Y,CLEARVIEW,14169
15170,Josie,Desexed/Microchipped,Maltese,White,F,Y,CLEARVIEW,14170
15171,Maggie,Desexed/Microchipped,Shih Tzu,Tri Colour,F,Y,CLEARVIEW,14171
